date,home_team,away_team,home_score,away_score,tournament,country,neutral,is_neutral,is_home_host,home_n_rows_used,home_n_unique_players,home_gls_90_calc,home_ast_90_calc,home_xg_90_calc,home_xag_90_calc,home_prgp_90_calc,home_prgc_90_calc,home_prgr_90_calc,away_n_rows_used,away_n_unique_players,away_gls_90_calc,away_ast_90_calc,away_xg_90_calc,away_xag_90_calc,away_prgp_90_calc,away_prgc_90_calc,away_prgr_90_calc,home_has_player_features,away_has_player_features
2006-08-16,Egypt,Uruguay,0,2,Friendly,Egypt,False,0,1,12.0,6.0,0.4566724549946898,0.2195817898085541,0.4259240521657178,0.2068288308991032,3.2412512160828646,2.4595886136889287,6.971012791970401,58.0,32.0,0.12826062251173428,0.09011533253587144,0.13442112939424605,0.06839737472157292,3.3982046155892807,1.1157932955646501,2.443996604112132,1,1
2006-08-16,Senegal,Ivory Coast,1,0,Friendly,France,True,1,0,94.0,53.0,0.13886034530648073,0.0790295216483192,0.15365812388306493,0.07888221927833743,3.212763863783893,1.537446200375316,3.250466692297993,95.0,49.0,0.10791077686058663,0.08823021355386867,0.1224159086976674,0.08933834489595181,3.2232387729229934,1.865491419700286,3.4265829966269252,1,1
2006-08-16,Norway,Brazil,1,1,Friendly,Norway,False,0,1,61.0,30.0,0.20730874095945118,0.09646840528777187,0.2040245958070102,0.10181689774120874,3.119954232283966,1.6519311999656725,3.5952645268453596,222.0,116.0,0.1380196945192818,0.09337597306458144,0.14097031731139587,0.09762555541886297,3.700717999976577,1.8244654065771115,3.6754088335647315,1,1
2006-08-16,Bosnia and Herzegovina,France,1,2,Friendly,Bosnia and Herzegovina,False,0,1,20.0,11.0,0.21181705995301123,0.08409899906599883,0.1900328453750838,0.06321666756073535,2.26441724347078,0.9342084409744739,2.2673993633329332,669.0,339.0,0.12869348729125515,0.0914007867087706,0.13132687972170362,0.09585130596194816,3.7115302417277567,1.6459084948635068,3.5091644778295956,1,1
2006-08-16,Germany,Sweden,3,0,Friendly,Germany,False,0,1,525.0,268.0,0.12225022641252874,0.09866886945798899,0.1209851741885406,0.09484605823030534,3.3314924015104976,1.3199030296594148,3.076107048078645,75.0,38.0,0.16207248674411123,0.09003434774035127,0.15458203402871762,0.09277410745856375,2.8997427715476793,1.7493720431432838,3.909280373554858,1,1
2006-08-16,Italy,Croatia,0,2,Friendly,Italy,False,0,1,453.0,223.0,0.10064542022688375,0.07184117225243414,0.09936094039366897,0.07352587098952947,2.9785588863788397,1.3805258992284988,2.901510349180325,74.0,41.0,0.1357180239600128,0.08176844349772415,0.13123301888817004,0.08750790630913532,4.366268427573914,1.4325150034508007,2.726715249076713,1,1
2006-08-16,Denmark,Poland,2,0,Friendly,Denmark,False,0,1,113.0,59.0,0.11832283057003351,0.08066749735953146,0.11473300929737994,0.08936734768497293,3.257721467322646,1.266794887573853,3.205879841262738,66.0,37.0,0.10756795372664836,0.05060730231352108,0.10555511887725828,0.059597612336477354,2.251733822018832,1.0588497276284234,2.313623577565193,1,1
2006-09-01,Denmark,Portugal,4,2,Friendly,Denmark,False,0,1,113.0,59.0,0.11832283057003351,0.08066749735953146,0.11473300929737994,0.08936734768497293,3.257721467322646,1.266794887573853,3.205879841262738,143.0,72.0,0.12267043364037306,0.11742925110543356,0.12919636582991798,0.10887435262769314,3.741252109079823,1.9596453987957385,3.992641172396862,1,1
2006-09-02,South Korea,Iran,1,1,Asian Cup qualifier,South Korea,False,0,1,20.0,9.0,0.24375091008095456,0.17548219203742066,0.1904640765928785,0.16374740660250658,4.41339208223027,1.9174397992824759,5.73209048042532,3.0,3.0,0.21106927165001352,0.08415454403253558,0.28243543815072125,0.17297081792967156,3.1656766356495094,1.562341432893447,4.766829573504558,1,1
2006-09-03,Saudi Arabia,Japan,1,0,Asian Cup qualifier,Saudi Arabia,False,0,1,1.0,1.0,0.0,0.29411764705882354,0.05882352941176472,0.17647058823529413,5.588235294117648,2.058823529411765,10.588235294117647,44.0,25.0,0.17029234572101554,0.09150103051322968,0.15107646153845045,0.1266637033864589,3.5825932589117393,2.2895502848961513,5.194621562256648,1,1
2006-09-03,Brazil,Argentina,3,0,Friendly,England,True,1,0,222.0,116.0,0.1380196945192818,0.09337597306458144,0.14097031731139587,0.09762555541886297,3.700717999976577,1.8244654065771115,3.6754088335647315,172.0,89.0,0.153271654238462,0.10010978720318002,0.1541241772366461,0.10038671891868028,3.770404248084686,1.4617757562015388,3.268399559912179,1,1
2006-09-04,Canada,Jamaica,1,0,Friendly,Canada,False,0,1,16.0,9.0,0.26625919021258043,0.11479259901088723,0.27516461151191485,0.10328445953484772,3.061418610350432,2.103159755493236,4.922573595052173,11.0,8.0,0.182581300738306,0.11610017000549458,0.17095718134801796,0.11112634950764717,2.4889270811030704,2.0349725078400773,4.594746383620246,1,1
2006-09-05,Brazil,Wales,2,0,Friendly,England,True,1,0,222.0,116.0,0.1380196945192818,0.09337597306458144,0.14097031731139587,0.09762555541886297,3.700717999976577,1.8244654065771115,3.6754088335647315,24.0,16.0,0.14222960007874028,0.11554283970648598,0.16532871466491703,0.11405061933452011,3.274347851971064,2.059095864008592,4.862380897096126,1,1
2006-09-06,North Macedonia,England,0,1,European Championship qual,Macedonia,False,0,0,6.0,3.0,0.10685276260470762,0.02668860586505861,0.08277417689363621,0.018710242823110082,1.0964117008094276,1.0034425829279445,2.0042200044938583,425.0,216.0,0.1516985239932024,0.10801257578739792,0.1470685603575705,0.10654352014674849,3.471060570105599,1.7640561403730242,3.6087309853907525,1,1
2006-09-06,Northern Ireland,Spain,3,2,European Championship qual,Northern Ireland,False,0,1,10.0,6.0,0.05645445933048802,0.08450883736631724,0.08086455438898893,0.07891866539900241,3.2711908471235613,1.4275417866088753,2.5270578718875765,865.0,438.0,0.10019779014858517,0.08675284250168772,0.10409897335344634,0.08969458069642704,3.610233407389874,1.5003535286726697,3.321712469419404,1,1
2006-09-06,France,Italy,3,1,European Championship qual,France,False,0,1,669.0,339.0,0.12869348729125515,0.0914007867087706,0.13132687972170362,0.09585130596194816,3.7115302417277567,1.6459084948635068,3.5091644778295956,453.0,223.0,0.10064542022688375,0.07184117225243414,0.09936094039366897,0.07352587098952947,2.9785588863788397,1.3805258992284988,2.901510349180325,1,1
